config_dir,ee_cutoff,en_cutoff,een_cutoff,ee_order,en_order,een_order,species,CCSD(T)_energy_Ha,heat_energy_Ha,error_Ha,error_mHa
4.5_1_2_order_9_7_4,4.5,1.0,2.0,9,7,4,F2,-199.495423000612,-199.532431,0.037007999388009694,37.007999388009694
4.5_1_2_order_9_7_4,4.5,1.0,2.0,9,7,4,HF,-100.445561365759,-100.460908,0.015346634240998469,15.346634240998469
4.5_1_2_order_9_7_4,4.5,1.0,2.0,9,7,4,NH2,-55.867989756511,-55.880866,0.012876243488996408,12.876243488996408
4.5_1_2_order_9_7_4,4.5,1.0,2.0,9,7,4,NH3,-56.549827999483,-56.564955,0.015127000516997668,15.127000516997668
4.5_1_2_order_9_7_6,4.5,1.0,2.0,9,7,6,CH3,-39.828571233554,-39.836136,0.007564766446002125,7.564766446002125
4.5_1_2_order_9_7_6,4.5,1.0,2.0,9,7,6,F2,-199.499858265736,-199.532431,0.03257273426399365,32.57273426399365
4.5_1_2_order_9_7_6,4.5,1.0,2.0,9,7,6,HF,-100.449234874455,-100.460908,0.011673125545001994,11.673125545001994
4.5_1_2_order_9_7_6,4.5,1.0,2.0,9,7,6,NH2,-55.870610518513,-55.880866,0.010255481487000395,10.255481487000395
4.5_1_2_order_9_7_6,4.5,1.0,2.0,9,7,6,NH3,-56.552672817635,-56.564955,0.012282182364998562,12.282182364998562
4.5_1_2_order_9_9_2,4.5,1.0,2.0,9,9,2,CH3,-39.813276547949,-39.836136,0.022859452051001483,22.859452051001483
4.5_1_2_order_9_9_2,4.5,1.0,2.0,9,9,2,F2,-199.433530821915,-199.532431,0.09890017808498897,98.90017808498897
4.5_1_2_order_9_9_2,4.5,1.0,2.0,9,9,2,HF,-100.412715027563,-100.460908,0.0481929724370076,48.1929724370076
4.5_1_2_order_9_9_2,4.5,1.0,2.0,9,9,2,NH2,-55.8497161094,-55.880866,0.031149890599998287,31.149890599998287
4.5_1_2_order_9_9_2,4.5,1.0,2.0,9,9,2,NH3,-56.529200854251,-56.564955,0.035754145748995825,35.754145748995825
4.5_1_2_order_9_9_4,4.5,1.0,2.0,9,9,4,CH3,-39.826488975387,-39.836136,0.009647024613002486,9.647024613002486
4.5_1_2_order_9_9_4,4.5,1.0,2.0,9,9,4,F2,-199.495366996055,-199.532431,0.0370640039450052,37.0640039450052
4.5_1_2_order_9_9_4,4.5,1.0,2.0,9,9,4,HF,-100.445736908477,-100.460908,0.015171091523001223,15.171091523001223
4.5_1_2_order_9_9_4,4.5,1.0,2.0,9,9,4,NH2,-55.867974616734,-55.880866,0.012891383265994705,12.891383265994705
4.5_1_2_order_9_9_4,4.5,1.0,2.0,9,9,4,NH3,-56.549780247237,-56.564955,0.01517475276299507,15.17475276299507
4.5_1_2_order_9_9_6,4.5,1.0,2.0,9,9,6,CH3,-39.828680077548,-39.836136,0.007455922452002994,7.455922452002994
4.5_1_2_order_9_9_6,4.5,1.0,2.0,9,9,6,F2,-199.500048644288,-199.532431,0.03238235571200221,32.38235571200221
4.5_1_2_order_9_9_6,4.5,1.0,2.0,9,9,6,HF,-100.449130880814,-100.460908,0.011777119186007212,11.777119186007212
4.5_1_2_order_9_9_6,4.5,1.0,2.0,9,9,6,NH2,-55.870779219881,-55.880866,0.01008678011899633,10.08678011899633
4.5_1_2_order_9_9_6,4.5,1.0,2.0,9,9,6,NH3,-56.552769522193,-56.564955,0.012185477806994527,12.185477806994527
4.5_2_0_order_5_5_0,4.5,2.0,0.0,5,5,0,CH3,-39.81642087068,-39.836136,0.019715129320005076,19.715129320005076
4.5_2_0_order_5_5_0,4.5,2.0,0.0,5,5,0,F2,-199.475601638337,-199.532431,0.056829361663005784,56.829361663005784
4.5_2_0_order_5_5_0,4.5,2.0,0.0,5,5,0,HF,-100.429498126799,-100.460908,0.03140987320099953,31.409873200999527
4.5_2_0_order_5_5_0,4.5,2.0,0.0,5,5,0,NH2,-55.854910190949,-55.880866,0.02595580905099837,25.95580905099837
4.5_2_0_order_5_5_0,4.5,2.0,0.0,5,5,0,NH3,-56.534994409142,-56.564955,0.029960590857996294,29.960590857996294
4.5_2_0_order_5_7_0,4.5,2.0,0.0,5,7,0,CH3,-39.81634370222,-39.836136,0.019792297780000467,19.792297780000467
4.5_2_0_order_5_7_0,4.5,2.0,0.0,5,7,0,F2,-199.475243688955,-199.532431,0.05718731104499852,57.18731104499852
4.5_2_0_order_5_7_0,4.5,2.0,0.0,5,7,0,HF,-100.429432544415,-100.460908,0.03147545558501008,31.47545558501008
4.5_2_0_order_5_7_0,4.5,2.0,0.0,5,7,0,NH2,-55.854892647884,-55.880866,0.025973352115997272,25.973352115997272
4.5_2_0_order_5_7_0,4.5,2.0,0.0,5,7,0,NH3,-56.534983550168,-56.564955,0.029971449831997177,29.971449831997177
4.5_2_0_order_5_9_0,4.5,2.0,0.0,5,9,0,CH3,-39.816301026667,-39.836136,0.01983497333300477,19.83497333300477
4.5_2_0_order_5_9_0,4.5,2.0,0.0,5,9,0,F2,-199.474833659458,-199.532431,0.05759734054200294,57.59734054200294
4.5_2_0_order_5_9_0,4.5,2.0,0.0,5,9,0,HF,-100.429375466014,-100.460908,0.031532533986009526,31.532533986009526
4.5_2_0_order_5_9_0,4.5,2.0,0.0,5,9,0,NH2,-55.854858688829,-55.880866,0.02600731117099997,26.00731117099997
4.5_2_0_order_5_9_0,4.5,2.0,0.0,5,9,0,NH3,-56.534918999169,-56.564955,0.030036000830996556,30.036000830996556
